,Job_Name,Company,Location,Job_type,Employees,Followers,Applicant,Industry,Involvement
206,Power BI Consultant 1 1,Worldline,"Delhi, Delhi, India",Hybrid,10001,191666,173,Financial Services,Full-time · Mid-Senior level
207,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045415,14,Financial Services,Full-time
208,Data Operations Analyst IRC179903,GlobalLogic,"Bengaluru, Karnataka, India",On-site,10001,739567,20,Computer Software,Full-time · Director
209,Data Analyst/Engineer,Turing,India,Remote,5000,215916,172,Information Technology & Services,Full-time · Entry level
210,Lead Quantitative Analytics Specialist,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160672,1,Financial Services,Full-time · Mid-Senior level
211,Analyst (AWS + Snowflake),Coforge,"Noida, Uttar Pradesh, India",Hybrid,10001,400599,200,Information Technology & Services,Full-time · Mid-Senior level
212,Senior Quantitative Analytics Specialist,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160672,17,Financial Services,Full-time · Mid-Senior level
213,Data Analyst,Right Advisors Private Limited,"Kolar, Karnataka, India",On-site,200,21074,14,Human Resources,Full-time · Entry level
214,Data Analyst (9),ITI Data,"Ramban, Jammu & Kashmir, India",Hybrid,500,6753,18,Information Technology & Services,Full-time · Entry level
215,Lead Data Analyst - Data Operations,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353902,193,Financial Services,Full-time
216,Data Analyst,Collegedunia,"Gurgaon, Haryana, India",On-site,1000,132679,200,Information Technology & Services,Full-time · Entry level
217,Data Researcher - III,S&P Global,"Ahmedabad, Gujarat, India",On-site,10001,353903,72,Financial Services,Full-time
218,Data Analyst,Spendflo,"Chennai, Tamil Nadu, India",Hybrid,200,7423,200,Information Technology & Services,Full-time · Associate
219,Product Engineer I - Matching/ Data Analyst,Experian,"Mumbai, Maharashtra, India",Hybrid,10001,580519,103,Information Services,Full-time · Mid-Senior level
220,Senior Data Analyst,Atkins,"Bengaluru, Karnataka, India",Hybrid,10001,789935,11,Design,Full-time · Mid-Senior level
221,Marketing Operations Data Analyst,Hewlett Packard Enterprise,"Bengaluru, Karnataka, India",On-site,10001,3575870,38,Information Technology & Services,Full-time
222,Senior Analytic Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160675,2,Financial Services,Full-time · Mid-Senior level
223,Lead II - Data Analysis,UST,"Bengaluru, Karnataka, India",On-site,10001,821656,171,Information Technology & Services,Full-time · Mid-Senior level
224,Marketing Operations Data Analyst,Hewlett Packard Enterprise,"Bengaluru, Karnataka, India",On-site,10001,3575869,38,Information Technology & Services,Full-time
225,Lead Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160675,17,Financial Services,Full-time · Mid-Senior level
226,Business and Data Analyst,Raise Financial Services,"Mumbai, Maharashtra, India",On-site,50,32134,200,Financial Services,Full-time · Associate
227,"Lead Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497679,48,Financial Services,Full-time
228,Interesting Job Opportunity: BeepKart - Senior Data Analyst,BeepKart,"Bengaluru, Karnataka, India",On-site,200,2325,9,Automotive,Full-time · Mid-Senior level
229,Expression of Interest: Data Analyst,Fingerprint for Success (F4S),India,Remote,50,106621,200,Computer Software,Full-time · Entry level
230,Forecasting Analyst,NewAge Products Inc.,India,Remote,500,12030,200,Consumer Goods,Full-time
231,Data Analyst,Dimensions HRD Consultants,Pune/Pimpri-Chinchwad Area,On-site,200,22088,200,Human Resources,Full-time · Entry level
232,Senior Business Intelligence Analyst,ApplyBoard,"Gurgaon, Haryana, India",On-site,5000,67042,200,Internet,Full-time · Mid-Senior level
233,Manager - Business Analyst (7-10 Years Experience in Pharma / FMCG / Startup),Antal International,"Mumbai, Maharashtra, India",On-site,5000,674952,40,Staffing & Recruiting,Full-time
234,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Mumbai, Maharashtra, India",On-site,10001,7366866,68,Information Technology & Services,Full-time · Entry level
235,Customer Analytics & Insights - Lead Analyst/Assistant Manager,S&P Global,"Bengaluru, Karnataka, India",On-site,10001,353906,138,Financial Services,Full-time
236,Senior Data Analyst,Novo,"Bengaluru, Karnataka, India",Hybrid,500,15448,151,Financial Services,Full-time · Mid-Senior level
238,Data Transformation Analyst II,S&P Global,"Hyderabad, Telangana, India",On-site,10001,353905,41,Financial Services,Full-time
239,Senior Business Intelligence Analyst,Wolters Kluwer,"Pune, Maharashtra, India",On-site,10001,217960,181,Information Services,Full-time · Mid-Senior level
240,Senior Analytic Consultant,Infiniti Research Ltd.,"Bengaluru, Karnataka, India",Hybrid,1000,109898,200,Market Research,Full-time · Mid-Senior level
241,Sr. Analytics Consultant,Experian,"Mumbai, Maharashtra, India",Hybrid,10001,580522,46,Information Services,Full-time · Mid-Senior level
242,Lead Analytics Consultant,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,10001,2160678,17,Financial Services,Full-time · Mid-Senior level
244,Kaleidofin - Data Analyst - Python/SQL,Kaleidofin Private Limited,"Bengaluru, Karnataka, India",On-site,200,7728,119,Financial Services,Full-time · Entry level
245,Data Analyst,Right Advisors Private Limited,"Chennai, Tamil Nadu, India",On-site,200,21074,200,Human Resources,Full-time · Entry level
246,"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497681,12,Financial Services,Full-time
247,Data analyst / Data scientist,GFL Recruitment Private Limited,"Mumbai, Maharashtra, India",On-site,50,7565,77,Staffing & Recruiting,Full-time · Entry level
248,Data Analyst,Toolyt,"Bengaluru, Karnataka, India",On-site,50,2944,200,Utilities,Full-time · Entry level
249,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821657,185,Information Technology & Services,Full-time · Mid-Senior level
250,Lead Data Analyst,LearningMate,"Mumbai, Maharashtra, India",Hybrid,5000,89879,200,E-learning,Full-time · Entry level
251,Azure Data Analyst,System Soft Technologies,India,Remote,1000,189585,200,Information Technology & Services,Contract · Mid-Senior level
252,Data Analyst(OBIA/OBIEE/ODI/ETL),"GE Appliances, a Haier company","Hyderabad, Telangana, India",On-site,10001,59249,200,Consumer Goods,Full-time · Entry level
253,Analytics & Reporting Specialist,Nokia,"Chennai, Tamil Nadu, India",On-site,10001,1513463,75,Telecommunications,Full-time
254,Data Analyst,Laundryheap,"Bengaluru, Karnataka, India",On-site,200,14194,200,Consumer Services,Full-time
255,Data Analyst,Turing,India,Remote,5000,215918,200,Information Technology & Services,Full-time · Entry level
256,Sr. Business Intelligence (BI) Analyst,TE Connectivity,"Bengaluru, Karnataka, India",On-site,10001,508933,50,Electrical & Electronic Manufacturing,Full-time · Mid-Senior level
257,Senior BI Analyst,Hexagon Asset Lifecycle Intelligence,"Hyderabad, Telangana, India",On-site,10001,97670,11,Computer Software,Full-time · Mid-Senior level
258,Data Analyst,Optum,"Noida, Uttar Pradesh, India",On-site,10001,648091,200,Hospital & Health Care,Full-time · Entry level
259,Data Analyst,eTeam,"Pune, Maharashtra, India",Hybrid,1000,282968,55,Staffing & Recruiting,Contract · Entry level
260,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Kolkata, West Bengal, India",On-site,10001,7366882,72,Information Technology & Services,Full-time · Entry level
261,Business & Data Analyst,LG Ad Solutions,"Bengaluru, Karnataka, India",On-site,500,12132,107,Marketing & Advertising,Full-time · Mid-Senior level
262,Data Analyst,Springer Nature Technology and Publishing Solutions,"Pune, Maharashtra, India",On-site,5000,93613,158,Information Technology & Services,Full-time · Mid-Senior level
263,Lead Data Analyst,Vestas,"Chennai, Tamil Nadu, India",On-site,10001,839375,200,Renewables & Environment,Full-time · Mid-Senior level
264,Senior Data Analyst,Atkins,"Bengaluru, Karnataka, India",On-site,10001,789939,5,Design,Full-time · Mid-Senior level
265,Senior Data Management Analyst,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160679,1,Financial Services,Full-time · Mid-Senior level
266,Senior Data Analyst,Novo,"Bengaluru, Karnataka, India",Hybrid,500,15449,151,Financial Services,Full-time · Mid-Senior level
267,Data Analyst,Fitelo,"Sahibzada Ajit Singh Nagar, Punjab, India",On-site,500,13242,200,"Health, Wellness & Fitness",Full-time · Entry level
268,Senior Data Analyst,Funding Societies | Modalku Group,"Bengaluru, Karnataka, India",Remote,500,52631,200,Financial Services,Full-time · Mid-Senior level
269,Data Analyst,AECOM,"Bengaluru East, Karnataka, India",Hybrid,10001,1650345,200,Civil Engineering,Full-time · Entry level
270,Data Research Analyst,Berkadia,"Hyderabad, Telangana, India",On-site,5000,87015,200,Financial Services,Full-time · Mid-Senior level
271,Lead - Data Analyst,Citi,"Chennai, Tamil Nadu, India",On-site,10001,4045428,156,Financial Services,Full-time
272,Big Data Developer & Analyst,Experian,"Hyderabad, Telangana, India",Hybrid,10001,580528,141,Information Services,Full-time · Mid-Senior level
273,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160681,1,Financial Services,Full-time · Mid-Senior level
274,Power BI,Diverse Lynx,"Delhi, Delhi, India",On-site,5000,73255,17,Computer Software,Contract · Associate
275,Interesting Job Opportunity: TransOrg Analytics - Data Science Lead - Python/SQL/R,TransOrg Analytics,"Mumbai, Maharashtra, India",On-site,200,11140,7,Information Services,Full-time · Mid-Senior level
276,Interesting Job Opportunity: Business Analyst - Data Analytics,Hiring Prism,"Mumbai, Maharashtra, India",On-site,10,1882,4,Human Resources,Full-time · Mid-Senior level
277,Data Analyst,Reality Premedia Services Pvt Ltd,"Pune, Maharashtra, India",Hybrid,500,4619,7,Information Technology & Services,Full-time · Mid-Senior level
278,Business Analyst - Data Science,PayU,"Bengaluru, Karnataka, India",Hybrid,5000,196997,129,Financial Services,Full-time · Mid-Senior level
279,Lead II - Data Analysis,UST,"Bengaluru, Karnataka, India",On-site,10001,821658,123,Information Technology & Services,Full-time · Mid-Senior level
280,Product Analyst,Rupifi,"Bengaluru North, Karnataka, India",On-site,200,19770,21,Financial Services,Full-time · Mid-Senior level
281,Lead II - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821658,56,Information Technology & Services,Full-time · Mid-Senior level
282,Senior Lead Analytics Consultant,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,10001,2160684,17,Financial Services,Full-time · Mid-Senior level
283,Reference Data Management - Index and Benchmark - Analyst,JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",On-site,10001,3791484,54,Financial Services,Full-time
284,Advanced Analytics Specialist,Hewlett Packard Enterprise,"Bengaluru, Karnataka, India",On-site,10001,3575875,12,Information Technology & Services,Full-time
285,Principal - Quantitative Analysis (Data Analytics/Statistical Analysis ),Gartner,"Gurgaon, Haryana, India",Hybrid,10001,1538132,16,Information Services,Full-time
286,Data Analyst - Senior Associate,PwC,"Hyderabad, Telangana, India",On-site,10001,5085496,64,Accounting,Full-time · Mid-Senior level
288,Data Analyst,Acme Services,"Mumbai, Maharashtra, India",On-site,200,162469,200,Human Resources,Full-time · Mid-Senior level
289,Power BI,Diverse Lynx,"Gurgaon, Haryana, India",Hybrid,5000,73258,21,Computer Software,Contract · Associate
290,Data Analyst,Ampstek,"Hyderabad, Telangana, India",On-site,5000,203075,182,Information Technology & Services,Full-time · Entry level
291,Item Data Analyst,Target,"Bengaluru, Karnataka, India",On-site,10001,1682935,166,Retail,Full-time · Entry level
292,Business Intelligence Specialist,IDESLABS PRIVATE LIMITED,"Bangalore Urban, Karnataka, India",On-site,200,89717,59,Information Technology & Services,Full-time · Entry level
293,Data Science-Consultant - Operation Research,Wipro,"Bengaluru, Karnataka, India",On-site,10001,6921754,110,Information Technology & Services,Full-time
294,BI Specialist - Qlik - Pricing Analytics - Bangalore,Chubb,Greater Bengaluru Area,Hybrid,10001,678233,200,Insurance,Full-time · Mid-Senior level
295,Data Researcher III,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353911,200,Financial Services,Full-time
296,Statistician,IBM,"Kochi, Kerala, India",On-site,10001,15195986,60,Information Technology & Services,Full-time
297,Interesting Job Opportunity: KreditBee - Data Analyst/Senior Data Analyst - Python/SQL,KreditBee,"Bengaluru, Karnataka, India",On-site,5000,21881,180,Financial Services,Full-time · Mid-Senior level
298,"Senior Analyst, Data Science (R-13734)",Dun & Bradstreet,"Chennai, Tamil Nadu, India",On-site,10000,191891,46,Information Services,Full-time · Mid-Senior level
299,Customer Senior Data Analyst for eCommerce,HP,"Bengaluru, Karnataka, India",Hybrid,10001,5197350,200,Information Technology & Services,Full-time · Mid-Senior level
300,Data Analyst,Falcon Smart IT (FalconSmartIT),"Bengaluru, Karnataka, India",Hybrid,50,55048,98,Information Technology & Services,Full-time · Entry level
301,Lead Data Analyst,Sophos,"Bengaluru, Karnataka, India",Remote,5000,338268,200,Computer Software,Full-time · Mid-Senior level
302,Dataanalyst+Qlikview_Deepanshi_TTP,CodersBrain,"Bengaluru, Karnataka, India",Remote,500,58816,25,Information Technology & Services,Full-time · Mid-Senior level
303,Senior Biostatistician,Biorasi,India,Remote,500,59146,52,Research,Full-time · Mid-Senior level
304,Lead Data Analyst,The Economist,"Gurugram, Haryana, India",Hybrid,5000,13163852,200,Newspapers,Full-time · Mid-Senior level
305,Senior Associate Business Intelligence Analyst,NTT Ltd.,"Bengaluru, Karnataka, India",Hybrid,10001,410812,200,Information Technology & Services,Full-time · Mid-Senior level
306,Data Analyst,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",On-site,5000,103298,35,Staffing & Recruiting,Full-time · Entry level
307,Senior Quantitative Analytics Specialist,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160690,17,Financial Services,Full-time · Mid-Senior level
308,PMO Data Analyst,Medline India,"Pune, Maharashtra, India",On-site,5000,65104,32,Information Services,Full-time · Mid-Senior level
309,Data Analyst – Consumer (Digital),Alp Consulting Ltd.,"Karnataka, India",On-site,5000,103298,21,Staffing & Recruiting,Full-time · Entry level
310,"Consultant, Development (4.5-6 years)-Analytics Development",Infogain,"Bengaluru, Karnataka, India",On-site,10000,209435,13,Information Technology & Services,Full-time
311,Data Science,TransUnion,"Pune, Maharashtra, India",On-site,10001,322055,23,Information Technology & Services,Full-time
312,"Data Quality Analyst with Python / R, SQL",ISS | Institutional Shareholder Services,"Mumbai, Maharashtra, India",Hybrid,5000,61319,69,Financial Services,Full-time · Associate
313,BI Test Analyst,WPP,"Chennai, Tamil Nadu, India",Hybrid,10001,353630,200,Marketing & Advertising,Full-time · Mid-Senior level
314,Senior Data Scientist - INDIA,Quantium,"Hyderabad, Telangana, India",Hybrid,1000,33253,113,Information Technology & Services,Full-time · Mid-Senior level
315,Data Analyst - R/SAS/MATLAB,Visionkrid Studio Pvt Ltd,"Bengaluru, Karnataka, India",On-site,50,7033,2,Computer Games,Full-time · Entry level
316,Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160691,26,Financial Services,Full-time · Associate
317,Associate Statistician,GSK,"Bengaluru, Karnataka, India",On-site,10001,3563560,113,Pharmaceuticals,Full-time
318,USPBA Data Scientist C11,Citi,"Bengaluru, Karnataka, India",On-site,10001,4045441,50,Financial Services,Full-time
319,USPBA Data Scientist C11,Citi,"Bengaluru, Karnataka, India",On-site,10001,4045442,50,Financial Services,Full-time
320,"SR. SPECIALIST, DATA ANALYTICS",AT&T,"Chennai, Tamil Nadu, India",Hybrid,10001,1651916,88,Telecommunications,Full-time
321,Collegedunia.com - Data Analyst,Collegedunia,"Gurgaon, Haryana, India",On-site,1000,132692,123,Information Technology & Services,Full-time · Entry level
322,Product Analyst - Platform Analytics,Victoria's Secret,"Bengaluru, Karnataka, India",On-site,10001,477269,94,Retail,Full-time · Mid-Senior level
323,"Business Intelligence Analyst, Data Insights and Visualization",General Mills,"Mumbai, Maharashtra, India",On-site,10001,596962,192,Consumer Goods,Full-time · Mid-Senior level
324,Data Analyst,Maruti Suzuki India Limited,"New Delhi, Delhi, India",Hybrid,10001,676206,200,Automotive,Full-time · Entry level
325,Data Science-Consultant - Operation Research,Wipro,"Bengaluru, Karnataka, India",On-site,10001,6922454,111,Information Technology & Services,Full-time
326,Data Analyst - SQL - FinTech Startup,Unnati,"Mumbai, Maharashtra, India",On-site,200,21427,164,Farming,Full-time · Entry level
327,Lead Quantitative Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160911,1,Financial Services,Full-time · Mid-Senior level
329,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Mumbai, Maharashtra, India",On-site,10001,7367410,68,Information Technology & Services,Full-time · Entry level
330,Analyst Insights and Analytics,DSM,"Hyderabad, Telangana, India",Hybrid,10001,405514,86,Biotechnology,Full-time · Associate
331,Data Analyst,Mr n Mrs Pet,"Jaipur, Rajasthan, India",On-site,50,694,11,Computer Software,Full-time · Mid-Senior level
332,"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu, India",On-site,10001,497744,5,Financial Services,Full-time
333,BI Test Analyst,WPP,"Chennai, Tamil Nadu, India",Hybrid,10001,353659,200,Marketing & Advertising,Full-time · Mid-Senior level
334,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497744,10,Financial Services,Full-time
335,Data Analyst,NxtWave,"Hyderabad, Telangana, India",On-site,1000,114267,200,Education Management,Full-time · Associate
336,Expression of Interest: Data Analyst,Fingerprint for Success (F4S),India,Remote,50,106713,200,Computer Software,Full-time · Entry level
337,Data Research Analyst,Berkadia,"Hyderabad, Telangana, India",On-site,5000,87018,200,Financial Services,Full-time · Mid-Senior level
338,Biostatistician PhD - Home based,Emmes,India,Remote,5000,19019,200,Research,Full-time · Mid-Senior level
339,ServiceNow Performance Analytics and Reporting Analyst,Workday,"Pune, Maharashtra, India",Hybrid,10001,761453,200,Computer Software,Full-time
340,Expression of Interest: Data Analyst,Fingerprint for Success (F4S),India,Remote,50,106714,200,Computer Software,Full-time · Entry level
341,Sr Data Analyst,Target,"Bengaluru, Karnataka, India",On-site,10001,1683022,42,Retail,Full-time · Mid-Senior level
342,Senior Clinical Data Analyst,Parexel,"Serilingampalli, Telangana, India",Remote,10001,495802,108,Pharmaceuticals,Full-time · Mid-Senior level
343,Data Analyst,Mantys (YC W23),"Bengaluru, Karnataka, India",Hybrid,10,1215,105,Computer Software,Full-time · Entry level
344,Data Analyst (10),ITI Data,"Ramban, Jammu & Kashmir, India",Hybrid,500,6754,18,Information Technology & Services,Full-time · Entry level
345,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497743,18,Financial Services,Full-time
346,Senior Power BI Specialist,ICF,"Delhi Cantonment, Delhi, India",On-site,10000,169885,105,Management Consulting,Full-time · Mid-Senior level
347,BI Analyst,Ecolab,"Bengaluru East, Karnataka, India",On-site,10001,480805,200,Chemicals,Full-time · Mid-Senior level
348,SCM Business Intelligence Analyst,WhiteCrow Research,"Hyderabad, Telangana, India",Hybrid,1000,35991,2,Human Resources,Full-time · Mid-Senior level
349,Senior Data Analyst,Mobile Programming LLC,"Chennai, Tamil Nadu, India",On-site,5000,296987,27,Information Technology & Services,Full-time
351,Sr. Data Researcher I,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353964,48,Financial Services,Full-time
352,Data Analyst,TechnoScience (Domnic Lewis International LLC),"Bengaluru, Karnataka, India",Hybrid,200,46827,200,Staffing & Recruiting,Full-time · Associate
354,Data Analyst,Saama,"Pune, Maharashtra, India",On-site,5000,54126,200,Computer Software,Full-time
355,Data Scientist/Quantitative Analyst,Antier Solutions,"Sahibzada Ajit Singh Nagar, Punjab, India",Hybrid,1000,15053,10,Information Technology & Services,Full-time · Mid-Senior level
356,Lead Analytics Consultant,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,10001,2160920,20,Financial Services,Full-time · Mid-Senior level
357,Senior Analyst Data Modelling,PepsiCo,"Hyderabad, Telangana, India",On-site,10001,7175348,85,Food & Beverages,Full-time · Mid-Senior level
358,Research - Data Analyst / Senior Data Analyst,ISG (Information Services Group),"Bengaluru, Karnataka, India",On-site,5000,42974,200,Information Services,Full-time · Mid-Senior level
359,Data Science - Sr Analyst - Compliance Testing Analytics,Citi,"Chennai, Tamil Nadu, India",On-site,10001,4045612,33,Financial Services,Full-time
360,"Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497743,157,Financial Services,Full-time
361,D&M metrics Analyst,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045612,14,Financial Services,Full-time
362,Data Analyst,Falcon Smart IT (FalconSmartIT),"Bengaluru, Karnataka, India",Hybrid,50,55072,99,Information Technology & Services,Full-time · Entry level
363,Lead analytics consultant,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,10001,2160920,8,Financial Services,Full-time · Mid-Senior level
365,"Business Intelligence Analyst, Operations",Calix,"Bengaluru, Karnataka, India",Hybrid,5000,42055,200,Computer Software,Full-time · Mid-Senior level
366,Senior Quantitative Researcher,Escalent,India,Remote,1000,33078,200,Market Research,Full-time · Mid-Senior level
367,Data Analyst,Acme Services,"Mumbai, Maharashtra, India",On-site,200,162594,200,Human Resources,Full-time · Mid-Senior level
368,Senior Biostatistician for based Pharma MNC,Elixir Consulting (A Gi Group Holding company),"Bengaluru, Karnataka, India",Hybrid,5000,26436,3,Human Resources,Full-time · Mid-Senior level
369,Lead II - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821733,4,Information Technology & Services,Full-time · Mid-Senior level
370,Analyst - Data Analytics,TIAA,"Mumbai, Maharashtra, India",On-site,10001,166794,21,Financial Services,Full-time · Entry level
371,Senior Data Analyst(JR00107792),Bajaj Finserv,"Pune, Maharashtra, India",On-site,10001,933392,65,Financial Services,Full-time · Mid-Senior level
373,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821734,186,Information Technology & Services,Full-time · Mid-Senior level
374,Senior Data Analyst,House of Shipping,"Chennai, Tamil Nadu, India",On-site,500,36838,200,Transportation/Trucking/Railroad,Full-time · Mid-Senior level
375,Microsoft Analytics,Alp Consulting Ltd.,"Pune, Maharashtra, India",On-site,5000,103329,29,Staffing & Recruiting,Full-time · Entry level
376,Data Analyst - EdTech,HR Consultancy,"Gurgaon, Haryana, India",On-site,500,611,140,Human Resources,Full-time · Entry level
377,Product Analyst II,InMobi,"Bengaluru, Karnataka, India",On-site,1000,205786,149,Marketing & Advertising,Full-time · Mid-Senior level
378,Data and Geospatial Analyst II,Catholic Relief Services,"Lucknow, Uttar Pradesh, India",Hybrid,10000,225248,85,Non-profit Organization Management,Full-time · Mid-Senior level
379,Principal - Quantitative Analysis (Data Analytics/Statistical Analysis ),Gartner,"Gurgaon, Haryana, India",Hybrid,10001,1538218,16,Information Services,Full-time
380,Lead I - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821735,118,Information Technology & Services,Full-time · Mid-Senior level
381,Data Analyst (2022-23 Batch),Unite Career Solutions,"Nagpur, Maharashtra, India",On-site,50,1287,200,Information Services,Full-time · Entry level
382,Data Analyst,Yo Hr Consultancy,"Chennai, Tamil Nadu, India",On-site,50,3867,43,Staffing & Recruiting,Full-time · Mid-Senior level
383,"Lead Analyst, Data Management Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu, India",On-site,10001,497744,3,Financial Services,Full-time
384,Technical Lead - Data & Analytics,Johnson Controls,"Pune, Maharashtra, India",On-site,10001,1247459,146,Mechanical Or Industrial Engineering,Full-time · Mid-Senior level
385,Senior Data Research Analyst - Thematic & Factor Specialist,S&P Global,"Mumbai, Maharashtra, India",On-site,10001,353967,156,Financial Services,Full-time
386,Associate Statistician,GSK,"Bengaluru, Karnataka, India",On-site,10001,3563746,118,Pharmaceuticals,Full-time
387,Junior Data Analyst / Business Analyst,Unite Career Solutions,"Pune, Maharashtra, India",On-site,50,1287,200,Information Services,Full-time · Entry level
388,Data Analyst - Big Data/Python,Emproto Technologies,Greater Kolkata Area,On-site,200,5550,4,Information Technology & Services,Full-time · Entry level
389,Senior Business Intelligence Analyst,Diebold Nixdorf,"Hyderabad, Telangana, India",Remote,10001,261979,106,Information Technology & Services,Full-time · Mid-Senior level
390,BI Analyst,Ecolab,"Bengaluru East, Karnataka, India",On-site,10001,480808,200,Chemicals,Full-time · Mid-Senior level
391,"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497744,47,Financial Services,Full-time
392,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497744,31,Financial Services,Full-time
393,Lead Data Analyst,Blinkit,"Gurgaon, Haryana, India",On-site,5000,415220,157,Computer Software,Full-time · Mid-Senior level
394,Senior Data Scientist - INDIA,Quantium,"Hyderabad, Telangana, India",Hybrid,1000,33253,114,Information Technology & Services,Full-time · Mid-Senior level
395,Sr. Data Analyst,Universal Electronics,"Bengaluru, Karnataka, India",Hybrid,5000,29497,9,Consumer Electronics,Full-time · Mid-Senior level
396,Data Analyst,STP Research,"Noida, Uttar Pradesh, India",Hybrid,50,1662,18,Market Research,Full-time · Associate
397,Data Analyst / Senior Data Analyst,Upstox,"Mumbai, Maharashtra, India",On-site,1000,89018,151,Financial Services,Full-time · Mid-Senior level
398,Project/ Consultant - Data Analyst / Data Engineer / Data Scientist- NA Infra,Arcadis,"Bengaluru, Karnataka, India",Hybrid,10001,849837,200,Civil Engineering,Full-time · Mid-Senior level
399,BUSINESS INTELLIGENCE ANALYST,Cummins Inc.,"Pune, Maharashtra, India",On-site,10001,705226,168,Automotive,Full-time · Mid-Senior level
400,Data Analyst,Right Advisors Private Limited,"Bengaluru, Karnataka, India",On-site,200,21081,96,Human Resources,Full-time · Entry level
402,Analytics & Reporting Specialist,Nokia,"Chennai, Tamil Nadu, India",On-site,10001,1513528,75,Telecommunications,Full-time
403,Senior Analytics Consultant - Product Services (Analytics Services),Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160929,2,Financial Services,Full-time · Mid-Senior level
404,Bigapple - BI Analyst/Data Scientist - Python/SQL,Bigapple Lifestyle Pvt. Ltd,"Hyderabad, Telangana, India",Hybrid,200,896,4,Electrical & Electronic Manufacturing,Full-time · Mid-Senior level
405,Data Analyst,Mojocare,"Bengaluru, Karnataka, India",Hybrid,200,5298,200,"Health, Wellness & Fitness",Full-time · Entry level
406,Ref Data Mgmt Analyst 1 - C09,Citi,"Pune, Maharashtra, India",On-site,10001,4045624,69,Financial Services,Full-time
407,Senior Data Analyst/Data Modellers,EPAM Systems,"Chennai, Tamil Nadu, India",Remote,10001,861888,89,Information Technology & Services,Full-time · Associate
408,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045624,44,Financial Services,Full-time
409,"Consultant, Data Science and Analytics",TransUnion,"Pune, Maharashtra, India",On-site,10001,322091,29,Information Technology & Services,Full-time
410,Reference Data Management - Index and Benchmark - Analyst,JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",On-site,10001,3791985,54,Financial Services,Full-time
411,Global SCM Project & Data Analyst,Aptiv,"Bengaluru, Karnataka, India",Hybrid,10001,279199,121,Automotive,Full-time
412,Data Analyst,ShopSe,"Bengaluru, Karnataka, India",On-site,200,9462,8,Computer Software,Full-time · Entry level
413,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160930,2,Financial Services,Full-time · Mid-Senior level
414,Lead Analyst-Analytics,Mashreq,"Bangalore Urban, Karnataka, India",On-site,5000,1016335,111,Banking,Full-time · Mid-Senior level
